"Run","AvgSpotLen","Bases","BioSample","Experiment","GEO_Accession..exp.","Instrument","libType","ReleaseDate","Sample.Name","SRA.Study","BioProject","sex","stage","strain","genotype","target","antibody","replicate","Input_or_IP","matchedInputs","mergeInputs","matchedIPs","mergeIPs","basename"
"SRR947267",32,172768608,"SAMN02230956","SRX331045","GSM1183569","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183569","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep1","Input",NA,FALSE,"SRR947268",FALSE,"SRR947267_L3_herm_FKH-2_Input_rep1"
"SRR947268",32,152603808,"SAMN02230941","SRX331046","GSM1183570","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183570","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep1","ChIP","SRR947267",FALSE,NA,FALSE,"SRR947268_L3_herm_FKH-2_ChIP_rep1"
"SRR947269",32,167095232,"SAMN02230939","SRX331047","GSM1183571","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183571","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep2","Input",NA,FALSE,"SRR947270;SRR947271",TRUE,"SRR947269_L3_herm_FKH-2_Input_rep2"
"SRR947270",32,68689696,"SAMN02230954","SRX331048","GSM1183572","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183572","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep2","ChIP","SRR947269",FALSE,NA,FALSE,"SRR947270_L3_herm_FKH-2_ChIP_rep2"
"SRR947271",32,58663776,"SAMN02230954","SRX331048","GSM1183572","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183572","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep2","ChIP","SRR947269",FALSE,NA,FALSE,"SRR947271_L3_herm_FKH-2_ChIP_rep2"
"SRR947272",32,140018944,"SAMN02230940","SRX331049","GSM1183573","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183573","SRP028417","PRJNA63455","herm","L3","OP198","unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119)","MML-1","GFP","rep1","Input",NA,FALSE,"SRR947273",FALSE,"SRR947272_L3_herm_MML-1_Input_rep1"
"SRR947273",32,160277248,"SAMN02230947","SRX331050","GSM1183574","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183574","SRP028417","PRJNA63455","herm","L3","OP198","unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119)","MML-1","GFP","rep1","ChIP","SRR947272",FALSE,NA,FALSE,"SRR947273_L3_herm_MML-1_ChIP_rep1"
"SRR947274",32,71275360,"SAMN02230950","SRX331051","GSM1183575","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183575","SRP028417","PRJNA63455","herm","L3","OP198","unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119)","MML-1","GFP","rep2","Input",NA,FALSE,"SRR947275",FALSE,"SRR947274_L3_herm_MML-1_Input_rep2"
"SRR947275",32,100369792,"SAMN02230938","SRX331052","GSM1183576","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183576","SRP028417","PRJNA63455","herm","L3","OP198","unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119)","MML-1","GFP","rep2","ChIP","SRR947274",FALSE,NA,FALSE,"SRR947275_L3_herm_MML-1_ChIP_rep2"
"SRR947276",32,125694464,"SAMN02230931","SRX331053","GSM1183577","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183577","SRP028418","PRJNA63455","herm","L3","OP203","unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119)","NHR-76","GFP","rep1","Input",NA,FALSE,"SRR947277",FALSE,"SRR947276_L3_herm_NHR-76_Input_rep1"
"SRR947277",32,166982848,"SAMN02230946","SRX331054","GSM1183578","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183578","SRP028418","PRJNA63455","herm","L3","OP203","unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119)","NHR-76","GFP","rep1","ChIP","SRR947276",FALSE,NA,FALSE,"SRR947277_L3_herm_NHR-76_ChIP_rep1"
"SRR947278",32,124085312,"SAMN02230934","SRX331055","GSM1183579","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183579","SRP028418","PRJNA63455","herm","L3","OP203","unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119)","NHR-76","GFP","rep2","Input",NA,FALSE,"SRR947279;SRR947280",TRUE,"SRR947278_L3_herm_NHR-76_Input_rep2"
"SRR947279",32,155461408,"SAMN02230928","SRX331056","GSM1183580","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183580","SRP028418","PRJNA63455","herm","L3","OP203","unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119)","NHR-76","GFP","rep2","ChIP","SRR947278",FALSE,NA,FALSE,"SRR947279_L3_herm_NHR-76_ChIP_rep2"
"SRR947280",32,145431072,"SAMN02230928","SRX331056","GSM1183580","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183580","SRP028418","PRJNA63455","herm","L3","OP203","unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119)","NHR-76","GFP","rep2","ChIP","SRR947278",FALSE,NA,FALSE,"SRR947280_L3_herm_NHR-76_ChIP_rep2"
"SRR947362",32,242816768,"SAMN02230888","SRX331131","GSM1183659","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183659","SRP028437","PRJNA63455","herm","L3","OP43","unc-119(ed3); wgIs43(nhr-23::TY1 EGFP FLAG; unc-119)","NHR-23","GFP","rep1","Input",NA,FALSE,"SRR947363",FALSE,"SRR947362_L3_herm_NHR-23_Input_rep1"
"SRR947363",32,162474688,"SAMN02230881","SRX331132","GSM1183660","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183660","SRP028437","PRJNA63455","herm","L3","OP43","unc-119(ed3); wgIs43(nhr-23::TY1 EGFP FLAG; unc-119)","NHR-23","GFP","rep1","ChIP","SRR947362",FALSE,NA,FALSE,"SRR947363_L3_herm_NHR-23_ChIP_rep1"
"SRR947364",32,297819840,"SAMN02230887","SRX331133","GSM1183661","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183661","SRP028437","PRJNA63455","herm","L3","OP43","unc-119(ed3); wgIs43(nhr-23::TY1 EGFP FLAG; unc-119)","NHR-23","GFP","rep2","Input",NA,FALSE,"SRR947365",FALSE,"SRR947364_L3_herm_NHR-23_Input_rep2"
"SRR947365",32,137414816,"SAMN02230882","SRX331134","GSM1183662","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183662","SRP028437","PRJNA63455","herm","L3","OP43","unc-119(ed3); wgIs43(nhr-23::TY1 EGFP FLAG; unc-119)","NHR-23","GFP","rep2","ChIP","SRR947364",FALSE,NA,FALSE,"SRR947365_L3_herm_NHR-23_ChIP_rep2"
"SRR947366",32,268866176,"SAMN02230877","SRX331135","GSM1183663","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183663","SRP028438","PRJNA63455","herm","L3","OP342","unc119(ed3);wgIs341(skn-1::TY1 EGFP FLAG;unc119)","SKN-1","GFP","rep1","Input",NA,FALSE,"SRR947367",FALSE,"SRR947366_L3_herm_SKN-1_Input_rep1"
"SRR947367",32,196570592,"SAMN02230885","SRX331136","GSM1183664","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183664","SRP028438","PRJNA63455","herm","L3","OP342","unc119(ed3);wgIs341(skn-1::TY1 EGFP FLAG;unc119)","SKN-1","GFP","rep1","ChIP","SRR947366",FALSE,NA,FALSE,"SRR947367_L3_herm_SKN-1_ChIP_rep1"
"SRR947368",32,212015168,"SAMN02230880","SRX331137","GSM1183665","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183665","SRP028438","PRJNA63455","herm","L3","OP342","unc119(ed3);wgIs341(skn-1::TY1 EGFP FLAG;unc119)","SKN-1","GFP","rep2","Input",NA,FALSE,"SRR947369",FALSE,"SRR947368_L3_herm_SKN-1_Input_rep2"
"SRR947369",32,308170464,"SAMN02230878","SRX331138","GSM1183666","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183666","SRP028438","PRJNA63455","herm","L3","OP342","unc119(ed3);wgIs341(skn-1::TY1 EGFP FLAG;unc119)","SKN-1","GFP","rep2","ChIP","SRR947368",FALSE,NA,FALSE,"SRR947369_L3_herm_SKN-1_ChIP_rep2"
"SRR947388",32,254717984,"SAMN02230861","SRX331157","GSM1183681","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183681","SRP028443","PRJNA63455","herm","L3","OP354","unc119(ed3);wgIs354(elt-1::TY1 EGFP FLAG;unc119)","ELT-1","GFP","rep1","Input",NA,FALSE,"SRR947389;SRR947390",TRUE,"SRR947388_L3_herm_ELT-1_Input_rep1"
"SRR947389",32,80212384,"SAMN02230863","SRX331158","GSM1183682","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183682","SRP028443","PRJNA63455","herm","L3","OP354","unc119(ed3);wgIs354(elt-1::TY1 EGFP FLAG;unc119)","ELT-1","GFP","rep1","ChIP","SRR947388",FALSE,NA,FALSE,"SRR947389_L3_herm_ELT-1_ChIP_rep1"
"SRR947390",32,32645024,"SAMN02230863","SRX331158","GSM1183682","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183682","SRP028443","PRJNA63455","herm","L3","OP354","unc119(ed3);wgIs354(elt-1::TY1 EGFP FLAG;unc119)","ELT-1","GFP","rep1","ChIP","SRR947388",FALSE,NA,FALSE,"SRR947390_L3_herm_ELT-1_ChIP_rep1"
"SRR947391",32,226948000,"SAMN02230864","SRX331159","GSM1183683","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183683","SRP028443","PRJNA63455","herm","L3","OP354","unc119(ed3);wgIs354(elt-1::TY1 EGFP FLAG;unc119)","ELT-1","GFP","rep2","Input",NA,FALSE,"SRR947392",FALSE,"SRR947391_L3_herm_ELT-1_Input_rep2"
"SRR947392",32,202638784,"SAMN02230859","SRX331160","GSM1183684","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183684","SRP028443","PRJNA63455","herm","L3","OP354","unc119(ed3);wgIs354(elt-1::TY1 EGFP FLAG;unc119)","ELT-1","GFP","rep2","ChIP","SRR947391",FALSE,NA,FALSE,"SRR947392_L3_herm_ELT-1_ChIP_rep2"
"SRR947409",32,179502464,"SAMN02230850","SRX331177","GSM1183701","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183701","SRP028448","PRJNA63455","herm","L3","OP228","unc119(ed3);wgIs228(nhr-237:TY1 EGFP FLAG;unc119)","NHR-237","GFP","rep1","Input",NA,FALSE,"SRR947410",FALSE,"SRR947409_L3_herm_NHR-237_Input_rep1"
"SRR947410",32,206429408,"SAMN02230842","SRX331178","GSM1183702","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183702","SRP028448","PRJNA63455","herm","L3","OP228","unc119(ed3);wgIs228(nhr-237:TY1 EGFP FLAG;unc119)","NHR-237","GFP","rep1","ChIP","SRR947409",FALSE,NA,FALSE,"SRR947410_L3_herm_NHR-237_ChIP_rep1"
"SRR947411",32,179480608,"SAMN02230843","SRX331179","GSM1183703","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183703","SRP028448","PRJNA63455","herm","L3","OP228","unc119(ed3);wgIs228(nhr-237:TY1 EGFP FLAG;unc119)","NHR-237","GFP","rep2","Input",NA,FALSE,"SRR947412",FALSE,"SRR947411_L3_herm_NHR-237_Input_rep2"
"SRR947412",32,218833248,"SAMN02230846","SRX331180","GSM1183704","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183704","SRP028448","PRJNA63455","herm","L3","OP228","unc119(ed3);wgIs228(nhr-237:TY1 EGFP FLAG;unc119)","NHR-237","GFP","rep2","ChIP","SRR947411",FALSE,NA,FALSE,"SRR947412_L3_herm_NHR-237_ChIP_rep2"
"SRR947433",32,191701312,"SAMN02230913","SRX331201","GSM1183729","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183729","SRP028454","PRJNA63455","herm","L3","OP305","unc119(ed3);wgIs305(nhr-11::TY1 EGFP FLAG;unc119)","NHR-11","GFP","rep1","Input",NA,FALSE,"SRR947434",FALSE,"SRR947433_L3_herm_NHR-11_Input_rep1"
"SRR947434",32,281898976,"SAMN02230905","SRX331202","GSM1183730","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183730","SRP028454","PRJNA63455","herm","L3","OP305","unc119(ed3);wgIs305(nhr-11::TY1 EGFP FLAG;unc119)","NHR-11","GFP","rep1","ChIP","SRR947433",FALSE,NA,FALSE,"SRR947434_L3_herm_NHR-11_ChIP_rep1"
"SRR947435",32,177631776,"SAMN02230899","SRX331203","GSM1183731","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183731","SRP028454","PRJNA63455","herm","L3","OP305","unc119(ed3);wgIs305(nhr-11::TY1 EGFP FLAG;unc119)","NHR-11","GFP","rep2","Input",NA,FALSE,"SRR947436",FALSE,"SRR947435_L3_herm_NHR-11_Input_rep2"
"SRR947436",32,255930560,"SAMN02230908","SRX331204","GSM1183732","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183732","SRP028454","PRJNA63455","herm","L3","OP305","unc119(ed3);wgIs305(nhr-11::TY1 EGFP FLAG;unc119)","NHR-11","GFP","rep2","ChIP","SRR947435",FALSE,NA,FALSE,"SRR947436_L3_herm_NHR-11_ChIP_rep2"
"SRR947485",32,228040416,"SAMN02230676","SRX331253","GSM1183777","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183777","SRP028467","PRJNA63455","herm","L3","OP373","unc119(ed3);wgIs373(nhr-67::TY1 EGFP FLAG;unc119","NHR-67","GFP","rep1","Input",NA,FALSE,"SRR947486",FALSE,"SRR947485_L3_herm_NHR-67_Input_rep1"
"SRR947486",32,159585824,"SAMN02230677","SRX331254","GSM1183778","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183778","SRP028467","PRJNA63455","herm","L3","OP373","unc119(ed3);wgIs373(nhr-67::TY1 EGFP FLAG;unc119","NHR-67","GFP","rep1","ChIP","SRR947485",FALSE,NA,FALSE,"SRR947486_L3_herm_NHR-67_ChIP_rep1"
"SRR947487",32,221190048,"SAMN02230681","SRX331255","GSM1183779","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183779","SRP028467","PRJNA63455","herm","L3","OP373","unc119(ed3);wgIs373(nhr-67::TY1 EGFP FLAG;unc119","NHR-67","GFP","rep2","Input",NA,FALSE,"SRR947488",FALSE,"SRR947487_L3_herm_NHR-67_Input_rep2"
"SRR947488",32,53752032,"SAMN02230679","SRX331256","GSM1183780","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183780","SRP028467","PRJNA63455","herm","L3","OP373","unc119(ed3);wgIs373(nhr-67::TY1 EGFP FLAG;unc119","NHR-67","GFP","rep2","ChIP","SRR947487",FALSE,NA,FALSE,"SRR947488_L3_herm_NHR-67_ChIP_rep2"
"SRR947558",32,197555968,"SAMN02230793","SRX331321","GSM1183845","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183845","SRP028483","PRJNA63455","herm","L3","OP404","unc-119(ed3) III; wgIs404(nfya-1::TY1-GFP-3xFLA; unc-119(+))","NFYA-1","GFP","rep1","Input",NA,FALSE,"SRR947559",FALSE,"SRR947558_L3_herm_NFYA-1_Input_rep1"
"SRR947559",32,207635520,"SAMN02230796","SRX331322","GSM1183846","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183846","SRP028483","PRJNA63455","herm","L3","OP404","unc-119(ed3) III; wgIs404(nfya-1::TY1-GFP-3xFLA; unc-119(+))","NFYA-1","GFP","rep1","ChIP","SRR947558",FALSE,NA,FALSE,"SRR947559_L3_herm_NFYA-1_ChIP_rep1"
"SRR947560",32,206809984,"SAMN02230801","SRX331323","GSM1183847","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183847","SRP028483","PRJNA63455","herm","L3","OP404","unc-119(ed3) III; wgIs404(nfya-1::TY1-GFP-3xFLA; unc-119(+))","NFYA-1","GFP","rep2","Input",NA,FALSE,"SRR947561",FALSE,"SRR947560_L3_herm_NFYA-1_Input_rep2"
"SRR947561",32,131165600,"SAMN02230802","SRX331324","GSM1183848","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183848","SRP028483","PRJNA63455","herm","L3","OP404","unc-119(ed3) III; wgIs404(nfya-1::TY1-GFP-3xFLA; unc-119(+))","NFYA-1","GFP","rep2","ChIP","SRR947560",FALSE,NA,FALSE,"SRR947561_L3_herm_NFYA-1_ChIP_rep2"
"SRR947578",50,656489400,"SAMN02264747","SRX331341","GSM1195415","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1195415","SRP028488","PRJNA63455","herm-male","L3","N2","wild-type","LIN-61","SDQ3520","rep1","Input",NA,FALSE,"SRR947580",FALSE,"SRR947578_L3_herm-male_LIN-61_Input_rep1"
"SRR947579",50,952027950,"SAMN02264748","SRX331342","GSM1195416","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1195416","SRP028488","PRJNA63455","herm-male","L3","N2","wild-type","LIN-61","SDQ3520","rep2","Input",NA,FALSE,"SRR947581",FALSE,"SRR947579_L3_herm-male_LIN-61_Input_rep2"
"SRR947580",50,849735600,"SAMN02264752","SRX331343","GSM1195417","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1195417","SRP028488","PRJNA63455","herm-male","L3","N2","wild-type","LIN-61","SDQ3520","rep1","ChIP","SRR947578",FALSE,NA,FALSE,"SRR947580_L3_herm-male_LIN-61_ChIP_rep1"
"SRR947581",36,1100786832,"SAMN02264750","SRX331344","GSM1195418","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1195418","SRP028488","PRJNA63455","herm-male","L3","N2","wild-type","LIN-61","SDQ3520","rep2","ChIP","SRR947579",FALSE,NA,FALSE,"SRR947581_L3_herm-male_LIN-61_ChIP_rep2"
"SRR947582",36,1196342964,"SAMN02264751","SRX331345","GSM1195419","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1195419","SRP028489","PRJNA63455","herm-male","L3","N2","wild-type","H3K9acS10","ab12181","rep1","Input",NA,FALSE,"SRR947584",FALSE,"SRR947582_L3_herm-male_H3K9acS10_Input_rep1"
"SRR947583",50,1142949100,"SAMN02264755","SRX331346","GSM1195420","Illumina Genome Analyzer","SINGLE","2014-05-21T00:00:00Z","GSM1195420","SRP028489","PRJNA63455","herm-male","L3","N2","wild-type","H3K9acS10","ab12181","rep2","Input",NA,FALSE,"SRR947585",FALSE,"SRR947583_L3_herm-male_H3K9acS10_Input_rep2"
"SRR947584",50,1086731450,"SAMN02264753","SRX331347","GSM1195421","Illumina Genome Analyzer","SINGLE","2014-05-21T00:00:00Z","GSM1195421","SRP028489","PRJNA63455","herm-male","L3","N2","wild-type","H3K9acS10","ab12181","rep1","ChIP","SRR947582",FALSE,NA,FALSE,"SRR947584_L3_herm-male_H3K9acS10_ChIP_rep1"
"SRR947585",50,679919600,"SAMN02264754","SRX331348","GSM1195422","Illumina Genome Analyzer","SINGLE","2014-05-21T00:00:00Z","GSM1195422","SRP028489","PRJNA63455","herm-male","L3","N2","wild-type","H3K9acS10","ab12181","rep2","ChIP","SRR947583",FALSE,NA,FALSE,"SRR947585_L3_herm-male_H3K9acS10_ChIP_rep2"
"SRR192330",42,809087454,"SAMN00261246","SRX060165","GSM706164","Illumina Genome Analyzer II","SINGLE","2011-05-03T00:00:00Z","GSM706164","SRP006493","PRJNA63461","herm","L3","N2","wild-type","Input",NA,"rep1","Input",NA,FALSE,"SRR190694;SRR190695;SRR190704;SRR190705;SRR190713;SRR190714",FALSE,"SRR192330_L3_herm_Input_Input_rep1"
"SRR340085",36,372823164,"SAMN00710310","SRX094473","GSM779422","Illumina Genome Analyzer II","SINGLE","2011-08-30T00:00:00Z","GSM779422","SRP007859","PRJNA63455","herm","L3","N2","wild-type","H3K36me3","AB9050 H3K36me3","rep1","ChIP","SRR340086",FALSE,NA,FALSE,"SRR340085_L3_herm_H3K36me3_ChIP_rep1"
"SRR340086",36,454384584,"SAMN00710311","SRX094474","GSM779423","Illumina Genome Analyzer II","SINGLE","2011-08-30T00:00:00Z","GSM779423","SRP007859","PRJNA63455","herm","L3","N2","wild-type","Input",NA,"rep1","Input",NA,FALSE,"SRR340085;SRR340087",FALSE,"SRR340086_L3_herm_Input_Input_rep1"
"SRR340087",36,460677780,"SAMN00710312","SRX094475","GSM779424","Illumina Genome Analyzer II","SINGLE","2011-08-30T00:00:00Z","GSM779424","SRP007859","PRJNA63455","herm","L3","N2","wild-type","H3K36me3","AB9050 H3K36me3","rep2","ChIP","SRR340086",FALSE,NA,FALSE,"SRR340087_L3_herm_H3K36me3_ChIP_rep2"
"SRR849515",32,92634400,"SAMN02141852","SRX276909","GSM1138352","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138352","SRP022262","PRJNA63455","herm","L3","OP236","unc119(ed3);wgIs236(elk-2::TY1 EGFP FLAG;unc119)","ZTF-11","GFP","rep1","Input",NA,FALSE,"SRR849517",FALSE,"SRR849515_L3_herm_ZTF-11_Input_rep1"
"SRR849516",32,117951584,"SAMN02141853","SRX276910","GSM1138353","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138353","SRP022262","PRJNA63455","herm","L3","OP236","unc119(ed3);wgIs236(elk-2::TY1 EGFP FLAG;unc119)","ZTF-11","GFP","rep2","Input",NA,FALSE,"SRR849518",FALSE,"SRR849516_L3_herm_ZTF-11_Input_rep2"
"SRR849517",32,175832704,"SAMN02141854","SRX276911","GSM1138354","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138354","SRP022262","PRJNA63455","herm","L3","OP236","unc119(ed3);wgIs236(elk-2::TY1 EGFP FLAG;unc119)","ZTF-11","GFP","rep1","ChIP","SRR849515",FALSE,NA,FALSE,"SRR849517_L3_herm_ZTF-11_ChIP_rep1"
"SRR849518",32,182463104,"SAMN02141855","SRX276912","GSM1138355","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138355","SRP022262","PRJNA63455","herm","L3","OP236","unc119(ed3);wgIs236(elk-2::TY1 EGFP FLAG;unc119)","ZTF-11","GFP","rep2","ChIP","SRR849516",FALSE,NA,FALSE,"SRR849518_L3_herm_ZTF-11_ChIP_rep2"
"SRR849693",32,109656128,"SAMN02141872","SRX277024","GSM1138368","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138368","SRP022314","PRJNA63455","herm","L3","OP234","unc119(ed3);wgIs234(T24H10.7:TY1 EGFP FLAG;unc119)","JUN-1","GFP","rep1","Input",NA,FALSE,"SRR849695",FALSE,"SRR849693_L3_herm_JUN-1_Input_rep1"
"SRR849694",32,111246720,"SAMN02141867","SRX277025","GSM1138369","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138369","SRP022314","PRJNA63455","herm","L3","OP234","unc119(ed3);wgIs234(T24H10.7:TY1 EGFP FLAG;unc119)","JUN-1","GFP","rep2","Input",NA,FALSE,"SRR849696",FALSE,"SRR849694_L3_herm_JUN-1_Input_rep2"
"SRR849695",32,84748128,"SAMN02141868","SRX277026","GSM1138370","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138370","SRP022314","PRJNA63455","herm","L3","OP234","unc119(ed3);wgIs234(T24H10.7:TY1 EGFP FLAG;unc119)","JUN-1","GFP","rep1","ChIP","SRR849693",FALSE,NA,FALSE,"SRR849695_L3_herm_JUN-1_ChIP_rep1"
"SRR849696",32,94451872,"SAMN02141869","SRX277027","GSM1138371","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138371","SRP022314","PRJNA63455","herm","L3","OP234","unc119(ed3);wgIs234(T24H10.7:TY1 EGFP FLAG;unc119)","JUN-1","GFP","rep2","ChIP","SRR849694",FALSE,NA,FALSE,"SRR849696_L3_herm_JUN-1_ChIP_rep2"
"SRR849729",32,157930048,"SAMN02141897","SRX277053","GSM1138396","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138396","SRP022323","PRJNA63455","herm","L3","OP318","unc-119(ed3); wgIs318(nhr-12::TY1 EGFP FLAG;unc-119(+))","NHR-12","GFP","rep1","Input",NA,FALSE,"SRR849731",FALSE,"SRR849729_L3_herm_NHR-12_Input_rep1"
"SRR849730",32,153370240,"SAMN02141898","SRX277054","GSM1138397","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138397","SRP022323","PRJNA63455","herm","L3","OP318","unc-119(ed3); wgIs318(nhr-12::TY1 EGFP FLAG;unc-119(+))","NHR-12","GFP","rep2","Input",NA,FALSE,"SRR849732",FALSE,"SRR849730_L3_herm_NHR-12_Input_rep2"
